experiment,ana_experiment,benchmark,seed,number_of_cities,population_size,max_iterations,rho,temperature_start,temperature_min,two_opt_trigger_temperature_start,two_opt_trigger_temperature_min,local_search_mode,tabu_tenure,tabu_max_steps,tabu_no_improvement_limit,tabu_candidate_sample_size,function_evaluations,best_fitness,known_optimum,absolute_gap,gap_percent,success,runtime_seconds,accepted_worse,rejected_worse,case_a,case_b,general,three_opt_calls,three_opt_edge_triples_checked,three_opt_reconnections_checked,three_opt_improvements,two_opt_calls,two_opt_trigger_attempts,two_opt_trigger_accepted,two_opt_trigger_rejected,two_opt_forced_calls,two_opt_probabilistic_calls,two_opt_candidate_checks,two_opt_improvements,archive_insert_attempts,archive_insertions,archive_replacements,archive_rejected_similar,archive_rejected_quality,archive_final_size,teacher_global_best_choices,teacher_archive_choices,mean_archive_edge_diversity,tabu_calls,tabu_steps,tabu_candidate_checks,tabu_admissible_moves,tabu_moves_accepted,tabu_improving_moves,tabu_worse_moves,tabu_aspiration_overrides,tabu_best_improvements,tabu_stops_max_steps,tabu_stops_no_improvement,tabu_stops_no_admissible_move,ils_calls,ils_perturbations,ils_polish_calls,ils_improvements,vnd_calls,vnd_restarts,vnd_2opt_improvements,vnd_relocate_improvements,vnd_swap_improvements,vnd_oropt2_improvements,vnd_oropt3_improvements,vnd_3opt_improvements,vnd_candidate_checks,edge_memory_deposits,edge_memory_evaporations,memory_guided_moves,memory_selected_edges,memory_inserted_edges,memory_failed_insertions,memory_near_best_deposits,memory_global_best_deposits,mean_selected_edge_memory,mean_selected_edge_distance,memory_ranked_pool_rebuilds,memory_ranked_pool_size,memory_pair_scans_saved_estimate,memory_dirty_rebuilds,memory_selection_random_choices,memory_selection_greedy_choices,total_fitness_evaluations,best_route
v9-edge-memory-fast-parity,v9,wi29,1,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,35.02628872999958,23535,151825,17328,7445,175207,2,5800,23200,0,2,0,0,0,0,0,9532,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413279,2706396,91319,172949,172949,0,7582,6669,5.994632077973391,1000.9948828845497,12949,100.0,64960000,12949,172949,0,232746,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast-parity,v9,wi29,2,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,38.22274186100003,22483,153965,17009,8313,174658,4,11600,46400,0,4,0,0,0,0,0,9939,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403332,2706396,91272,172659,172659,0,7237,6671,5.970578411291698,1017.6623344279765,12758,100.0,64919806,12758,172659,0,256357,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast-parity,v9,wi29,3,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.46229430499989,22473,153906,17599,7745,174636,3,8700,34800,0,3,0,0,0,0,0,8396,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403825,2706396,91267,173382,173382,0,7255,6670,6.039324303461472,1081.5368781073007,12769,100.0,65208878,12769,173382,0,243212,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast-parity,v9,wi29,4,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,39.87398319299973,22025,154980,10113,10396,179471,4,10406,41623,1,4,0,0,0,0,0,10138,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367314,2706396,95015,182119,182119,0,5996,6670,6.1908188123883185,1139.306233836118,11942,100.0,69091862,11942,182119,0,251779,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast-parity,v9,wi29,5,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,36.06199474099958,21805,155143,18861,8028,173091,2,5800,23200,0,2,0,0,0,0,0,9768,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418934,2706396,90671,172263,172263,0,7777,6669,6.33156608739106,1052.5419619999652,13316,100.0,64532482,13316,172263,0,232982,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast-parity,v9,wi29,6,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,36.29658951300007,22974,153132,18550,7678,173752,2,5800,23200,0,2,0,0,0,0,0,9959,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405768,2706396,90406,171072,171072,0,7323,6669,5.858709660696116,988.140209970071,12806,100.0,64255996,12806,171072,0,233173,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast-parity,v9,wi29,7,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,37.803146434000155,21692,155409,16539,8089,175352,3,8700,34800,0,3,0,0,0,0,0,8425,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401447,2706396,91966,174611,174611,0,7173,6670,6.075969327714752,1051.7091649437893,12781,100.0,65702980,12781,174611,0,243241,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast-parity,v9,wi29,8,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27603,27603,0,0.0,yes,36.45409015900077,22681,153536,16278,8543,175159,3,7840,31359,1,3,0,0,0,0,0,8325,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386773,2706396,91636,173892,173892,0,6668,6669,5.874387846176377,1012.8285717571827,12258,100.0,65623404,12258,173892,0,239700,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 16, 20, 21, 22, 28, 27, 25, 19, 24, 26, 23, 15, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast-parity,v9,wi29,9,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,37.41433001099995,21618,155473,18683,8958,172339,3,7687,30747,1,3,0,0,0,0,0,9472,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405565,2706396,90807,172291,172291,0,7316,6669,6.186504402281941,1057.1125537607884,12970,100.0,64684326,12970,172291,0,240235,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
v9-edge-memory-fast-parity,v9,wi29,10,29,30,6666,0.2,0.03,0.0001,,,,,,,,200010,27750,27603,147,0.5325508096945984,no,36.74315052300062,20979,156897,18967,8075,172938,2,5800,23200,0,2,0,0,0,0,0,6763,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393646,2706396,90617,172541,172541,0,6905,6669,6.216600588703193,1072.0541088784694,12527,100.0,64965684,12527,172541,0,229977,"[0, 1, 5, 9, 10, 11, 14, 18, 17, 21, 22, 20, 28, 27, 25, 24, 26, 23, 15, 19, 16, 13, 12, 8, 6, 2, 3, 7, 4]"
